Onset,Annotation
+8.8982880,960
+72.1171680,7
+94.3827488,8
+127.6405184,9
+142.6405184,131
+306.1093568,9
+321.1093568,132
+445.1640352,9
+460.1640352,133
+599.6405184,9100
+724.1796576,9
+739.1796576,134
+929.3358816,9
+944.3358816,136
+1056.0390560,9
+1071.0390560,137
+1369.9529664,991
+1483.3593152,9
+1498.3593152,139
+1712.3280704,9
+1727.3280704,1310
+1862.2265248,955
+1936.0390560,9
+1951.0390560,1311
