number	latency	type	init_index	init_time	urevent
1.000000	1637.000000	1637.000000	1637.000000	1637.000000	1637.000000	960.000000	1.000000	145.242147	1.000000
2.000000	132132.755000	132132.755000	132132.755000	132132.755000	132132.755000	7.000000	2.000000	208.960778	2.000000
3.000000	184404.917000	184404.917000	184404.917000	184404.917000	184404.917000	8.000000	3.000000	234.484294	3.000000
4.000000	243796.917000	243796.917000	243796.917000	243796.917000	243796.917000	9.000000	4.000000	263.484294	4.000000
5.000000	274516.917000	274516.917000	274516.917000	274516.917000	274516.917000	131.000000	5.000000	278.484294	5.000000
6.000000	676900.755000	676900.755000	676900.755000	676900.755000	676900.755000	9.000000	6.000000	474.960778	6.000000
7.000000	676900.755000	676900.755000	676900.755000	676900.755000	676900.755000	132.000000	7.000000	474.960778	7.000000
8.000000	997700.878000	997700.878000	997700.878000	997700.878000	997700.878000	9.000000	8.000000	631.601462	8.000000
9.000000	1028420.878000	1028420.878000	1028420.878000	1028420.878000	1028420.878000	133.000000	9.000000	646.601462	9.000000
10.000000	1361205.051000	1361205.051000	1361205.051000	1361205.051000	1361205.051000	9100.000000	10.000000	809.093734	10.000000
11.000000	1655524.808000	1655524.808000	1655524.808000	1655524.808000	1655524.808000	9.000000	11.000000	952.804554	11.000000
12.000000	1706724.808000	1706724.808000	1706724.808000	1706724.808000	1706724.808000	134.000000	12.000000	977.804554	12.000000
13.000000	2097236.917000	2097236.917000	2097236.917000	2097236.917000	2097236.917000	9.000000	13.000000	1168.484294	13.000000
14.000000	2097236.917000	2097236.917000	2097236.917000	2097236.917000	2097236.917000	136.000000	14.000000	1168.484294	14.000000
15.000000	2376917.067000	2376917.067000	2376917.067000	2376917.067000	2376917.067000	9.000000	15.000000	1305.046867	15.000000
16.000000	2407637.067000	2407637.067000	2407637.067000	2407637.067000	2407637.067000	137.000000	16.000000	1320.046867	16.000000
17.000000	3032517.027000	3032517.027000	3032517.027000	3032517.027000	3032517.027000	991.000000	17.000000	1625.164035	17.000000
18.000000	3272980.886000	3272980.886000	3272980.886000	3272980.886000	3272980.886000	9.000000	18.000000	1742.578029	18.000000
19.000000	3303700.886000	3303700.886000	3303700.886000	3303700.886000	3303700.886000	139.000000	19.000000	1757.578029	19.000000
20.000000	3727140.968000	3727140.968000	3727140.968000	3727140.968000	3727140.968000	9.000000	20.000000	1964.335882	20.000000
21.000000	3757860.968000	3757860.968000	3757860.968000	3757860.968000	3757860.968000	1310.000000	21.000000	1979.335882	21.000000
22.000000	4026004.992000	4026004.992000	4026004.992000	4026004.992000	4026004.992000	955.000000	22.000000	2110.265581	22.000000
23.000000	4184900.792000	4184900.792000	4184900.792000	4184900.792000	4184900.792000	9.000000	23.000000	2187.851421	23.000000
24.000000	4184900.792000	4184900.792000	4184900.792000	4184900.792000	4184900.792000	1311.000000	24.000000	2187.851421	24.000000
